26/10/2018 - 17:46:28 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.5333, paramA=27.5858, paramVg=0.0, paramVt=1.4323, paramVi=1.4311, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:28 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 25
26/10/2018 - 17:46:28 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.6083, paramA=27.5858, paramVg=0.0, paramVt=1.4093, paramVi=1.4082, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:29 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 26
26/10/2018 - 17:46:29 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.65, paramA=27.5858, paramVg=0.0, paramVt=1.3991, paramVi=1.3982, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:29 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 26
26/10/2018 - 17:46:29 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.6833, paramA=27.5858, paramVg=0.0, paramVt=1.386, paramVi=1.385, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:30 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 27
26/10/2018 - 17:46:30 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.7583, paramA=27.5858, paramVg=0.0, paramVt=1.3652, paramVi=1.3645, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:30 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 27
26/10/2018 - 17:46:31 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.7917, paramA=27.5858, paramVg=0.0, paramVt=1.3517, paramVi=1.351, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:31 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 28
26/10/2018 - 17:46:31 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.8667, paramA=27.5858, paramVg=1.0E-4, paramVt=1.3305, paramVi=1.33, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:32 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 28
26/10/2018 - 17:46:32 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.9, paramA=27.5858, paramVg=1.0E-4, paramVt=1.3167, paramVi=1.3161, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:32 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 29
26/10/2018 - 17:46:33 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.9667, paramA=27.5858, paramVg=1.0E-4, paramVt=1.3059, paramVi=1.3055, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:33 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 29
26/10/2018 - 17:46:33 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.0083, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2823, paramVi=1.2815, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:34 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 30
26/10/2018 - 17:46:34 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.0417, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2686, paramVi=1.2681, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:34 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 30
26/10/2018 - 17:46:34 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.1, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2578, paramVi=1.2575, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:35 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 31
26/10/2018 - 17:46:35 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 31
26/10/2018 - 17:46:35 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.1417, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2371, paramVi=1.2366, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:36 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 32
26/10/2018 - 17:46:36 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.2, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2117, paramVi=1.2117, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:37 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 32
26/10/2018 - 17:46:37 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.2333, paramA=27.5858, paramVg=1.0E-4, paramVt=1.2034, paramVi=1.2036, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:37 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 33
26/10/2018 - 17:46:37 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.3, paramA=27.5858, paramVg=1.0E-4, paramVt=1.1831, paramVi=1.1836, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:38 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 33
26/10/2018 - 17:46:38 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=8.3917, paramA=27.5858, paramVg=1.0E-4, paramVt=1.1678, paramVi=1.1682, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.029, paramR=0.937}
26/10/2018 - 17:46:38 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 34
